"Date","Residuals"
"2019-05-17",-1.62947185862159
"2019-05-20",-1.75143402324319
"2019-05-21",-1.74465724462453
"2019-05-22",-1.7746597718839
"2019-05-23",-1.78644792316971
"2019-05-24",-1.88753496659366
"2019-05-27",-1.69986032144303
"2019-05-28",-1.90770139815135
"2019-05-29",-1.87432185424979
"2019-05-30",-1.54739128037027
"2019-05-31",-2.00543922478613
"2019-06-03",-1.50169396339745
"2019-06-04",-1.81487169411018
"2019-06-05",-1.85899278202347
"2019-06-06",-1.93437239943712
"2019-06-07",-1.92667500895219
"2019-06-10",-1.78023362070827
"2019-06-11",-1.87276078874646
"2019-06-12",-1.90919206795292
"2019-06-13",-1.845073507299
"2019-06-14",-1.87721979429385
"2019-06-17",-2.03310123363992
"2019-06-18",-1.95276837052455
"2019-06-19",-1.96172176325047
