Date,HIGH,LOW,OPEN,CLOSE,VOLUME,ticker
2017-02-01,21.975,19.8,21.975,21.83,220,PNCGMc1
2017-02-02,22.625,21.875,22.375,21.88,130,PNCGMc1
2017-02-03,22.55,22.35,22.35,22.3,120,PNCGMc1
2017-02-06,22.0,21.875,21.875,21.97,75,PNCGMc1
2017-02-07,21.475,21.15,21.475,21.33,270,PNCGMc1
2017-02-08,20.5,20.25,20.35,20.38,175,PNCGMc1
2017-02-09,20.45,20.275,20.425,20.26,85,PNCGMc1
2017-02-10,19.775,19.6,19.6,19.9,70,PNCGMc1
2017-02-13,19.8,19.25,19.8,19.07,65,PNCGMc1
2017-02-14,19.325,18.825,19.325,18.81,95,PNCGMc1
2017-02-15,19.05,18.9,18.9,19.0,135,PNCGMc1
2017-02-16,19.3,19.225,19.25,19.12,50,PNCGMc1
2017-02-17,18.725,18.525,18.7,18.62,105,PNCGMc1
2017-02-20,18.875,18.6,18.65,18.63,155,PNCGMc1
2017-02-21,18.675,18.275,18.675,18.35,105,PNCGMc1
2017-02-22,18.25,17.975,18.05,18.23,340,PNCGMc1
2017-02-23,18.6,18.45,18.475,18.59,280,PNCGMc1
2017-02-24,18.25,18.2,18.2,17.97,35,PNCGMc1
2017-02-27,17.85,17.575,17.575,17.64,350,PNCGMc1
2017-02-28,17.8,17.8,17.8,17.03,20,PNCGMc1
2017-03-01,17.5,17.125,17.125,17.49,540,PNCGMc1
2017-03-02,17.2,17.15,17.2,16.96,305,PNCGMc1
2017-03-03,17.0,17.0,17.0,17.1,35,PNCGMc1
2017-03-06,17.0,16.8,16.8,17.06,40,PNCGMc1
2017-03-07,17.05,16.95,17.05,16.75,40,PNCGMc1
2017-03-08,16.675,16.65,16.65,16.55,35,PNCGMc1
2017-03-09,16.6,16.525,16.6,16.51,35,PNCGMc1
2017-03-10,16.775,16.5,16.5,16.4,65,PNCGMc1
2017-03-13,16.275,16.15,16.15,16.26,170,PNCGMc1
2017-03-14,16.55,16.375,16.4,16.31,40,PNCGMc1
2017-03-15,16.7,16.4,16.5,16.43,110,PNCGMc1
2017-03-16,16.425,16.3,16.425,16.32,80,PNCGMc1
2017-03-17,16.275,16.25,16.25,16.35,25,PNCGMc1
2017-03-20,16.15,16.1,16.1,16.11,45,PNCGMc1
2017-03-21,16.05,15.9,16.05,15.92,65,PNCGMc1
2017-03-22,15.95,15.8,15.8,16.05,45,PNCGMc1
2017-03-23,15.95,15.875,15.95,15.99,115,PNCGMc1
2017-03-24,15.7,15.675,15.7,15.58,70,PNCGMc1
2017-03-27,15.4,15.35,15.4,15.3,45,PNCGMc1
2017-03-28,15.4,15.325,15.4,15.45,10,PNCGMc1
2017-03-29,15.85,15.85,15.85,16.07,5,PNCGMc1
2017-03-30,16.25,15.86,15.86,16.32,155,PNCGMc1
2017-03-31,,,,16.14,,PNCGMc1
2017-04-03,16.425,16.325,16.425,16.34,15,PNCGMc1
2017-04-04,16.55,16.5,16.55,16.42,25,PNCGMc1
2017-04-05,16.575,16.5,16.5,16.47,30,PNCGMc1
2017-04-06,16.525,16.45,16.45,16.39,15,PNCGMc1
2017-04-07,,,,16.1,,PNCGMc1
2017-04-10,16.225,15.855,16.05,15.8,65,PNCGMc1
2017-04-11,15.9,15.75,15.9,15.89,115,PNCGMc1
2017-04-12,16.075,15.9,15.9,15.88,190,PNCGMc1
2017-04-13,16.075,15.94,15.94,15.96,75,PNCGMc1
2017-04-18,16.525,16.275,16.275,16.51,30,PNCGMc1
2017-04-19,16.655,16.48,16.65,16.47,65,PNCGMc1
2017-04-20,16.425,16.35,16.35,16.32,70,PNCGMc1
2017-04-21,16.75,16.5,16.5,16.58,65,PNCGMc1
2017-04-24,16.675,16.49,16.675,16.47,85,PNCGMc1
2017-04-25,16.25,16.25,16.25,16.05,10,PNCGMc1
2017-04-26,16.4,16.225,16.225,16.45,340,PNCGMc1
2017-04-27,16.55,16.375,16.525,16.39,415,PNCGMc1
2017-04-28,,,,16.46,,PNCGMc1
2017-05-02,16.725,16.725,16.725,16.73,5,PNCGMc1
2017-05-03,16.8,16.72,16.72,16.58,70,PNCGMc1
2017-05-04,16.4,16.12,16.4,16.18,70,PNCGMc1
2017-05-05,16.075,16.075,16.075,16.1,10,PNCGMc1
2017-05-08,15.875,15.75,15.875,15.79,55,PNCGMc1
2017-05-09,15.94,15.925,15.925,15.8,25,PNCGMc1
2017-05-10,16.0,15.895,16.0,15.89,165,PNCGMc1
2017-05-11,15.79,15.6,15.79,15.64,70,PNCGMc1
2017-05-12,15.675,15.675,15.675,15.63,10,PNCGMc1
2017-05-15,15.85,15.775,15.825,15.76,115,PNCGMc1
2017-05-16,15.77,15.75,15.77,15.71,10,PNCGMc1
2017-05-17,15.96,15.7,15.7,15.88,80,PNCGMc1
2017-05-18,16.025,15.97,15.97,16.08,30,PNCGMc1
2017-05-19,,,,15.88,,PNCGMc1
