Date,CLOSE
2019-02-08,18.432
2019-02-11,18.186
2019-02-12,17.912
2019-02-13,18.154
2019-02-14,17.853
2019-02-15,18.098
2019-02-18,17.448
2019-02-19,17.676
2019-02-20,18.22
2019-02-21,17.581
2019-02-22,17.23
2019-02-25,17.075
2019-02-26,17.198
2019-02-27,17.8
2019-02-28,17.873
2019-03-01,17.406
2019-03-04,17.435
2019-03-05,17.214
2019-03-06,16.95
2019-03-07,16.88
2019-03-08,16.831
2019-03-11,16.512
2019-03-12,16.161
2019-03-13,15.679
2019-03-14,15.571
2019-03-15,15.184
2019-03-18,14.91
2019-03-19,14.94
2019-03-20,15.109
2019-03-21,14.539
2019-03-22,14.425
2019-03-25,14.128
2019-03-26,14.317
2019-03-27,14.86
2019-03-28,14.33
2019-03-29,14.225
2019-04-01,13.781
2019-04-02,13.48
2019-04-03,14.25
2019-04-04,14.68
2019-04-05,16.451
2019-04-08,15.912
2019-04-09,16.589
2019-04-10,15.648
2019-04-11,15.862
2019-04-12,15.788
2019-04-15,14.938
2019-04-16,14.794
2019-04-17,15.165
2019-04-18,14.4
2019-04-23,14.431
2019-04-24,14.212
2019-04-25,14.454
2019-04-26,14.368
2019-04-29,14.44
2019-04-30,14.267
2019-05-02,14.206
2019-05-03,14.434
2019-05-07,14.067
2019-05-08,14.158
2019-05-09,14.338
2019-05-10,13.876
2019-05-13,13.633
2019-05-14,13.672
2019-05-15,13.716
2019-05-16,13.241
2019-05-17,12.743
2019-05-20,12.751
2019-05-21,12.61
2019-05-22,12.573
2019-05-23,12.503
2019-05-24,12.228
2019-05-28,12.426
2019-05-29,12.172
2019-05-30,11.45
2019-05-31,11.227
2019-06-03,10.968
2019-06-04,11.752
2019-06-05,11.492
2019-06-06,10.891
2019-06-07,11.278
2019-06-10,11.504
2019-06-11,10.903
2019-06-12,10.827
2019-06-13,11.1
2019-06-14,11.085
2019-06-17,11.374
2019-06-18,10.889
2019-06-19,10.35
2019-06-20,9.972
2019-06-21,10.181
2019-06-24,10.038
2019-06-25,9.712
2019-06-26,9.701
2019-06-27,9.41
2019-06-28,10.182
2019-07-01,10.389
2019-07-02,
2019-07-03,
2019-07-04,10.452
2019-07-05,11.046
2019-07-08,11.852
2019-07-09,11.721
2019-07-10,12.101
2019-07-11,13.024
2019-07-12,13.342
2019-07-15,12.919
2019-07-16,11.422
2019-07-17,11.194
2019-07-18,10.767
2019-07-19,10.827
2019-07-22,10.181
2019-07-23,10.789
2019-07-24,10.103
2019-07-25,10.145
2019-07-26,9.976
2019-07-29,9.784
2019-07-30,9.79
2019-07-31,10.953
2019-08-01,12.29
2019-08-02,11.888
2019-08-05,11.489
2019-08-06,10.868
2019-08-07,11.339
2019-08-08,12.011
2019-08-09,11.88
2019-08-12,11.338
2019-08-13,11.795
2019-08-14,11.079
2019-08-15,11.109
2019-08-16,10.893
2019-08-19,10.714
