Date,HIGH,LOW,OPEN,CLOSE,VOLUME,ticker
2020-06-22,5.5,5.3,5.4,5.429,4720,PPEGMc1
2020-06-23,5.6,5.6,5.6,5.615,2320,PPEGMc1
2020-06-24,5.7,5.5,5.675,5.483,1840,PPEGMc1
2020-06-25,5.4,5.1,5.4,5.093,2080,PPEGMc1
2020-06-26,4.95,4.9,4.9,4.93,3236,PPEGMc1
2020-06-29,5.25,5.2,5.2,5.68,1600,PPEGMc1
2020-06-30,,,,6.068,,PPEGMc1
2020-07-01,,,,5.778,,PPEGMc1
2020-07-02,5.65,5.65,5.65,,1600,PPEGMc1
2020-07-03,5.775,5.775,5.775,5.964,1720,PPEGMc1
2020-07-06,,,,5.984,,PPEGMc1
2020-07-07,,,,6.014,,PPEGMc1
2020-07-08,,,,5.812,,PPEGMc1
2020-07-09,,,,5.64,,PPEGMc1
2020-07-10,,,,5.359,,PPEGMc1
2020-07-13,5.2,5.2,5.2,4.992,240,PPEGMc1
2020-07-14,4.95,4.95,4.95,4.963,120,PPEGMc1
2020-07-15,5.2,5.2,5.2,5.08,60,PPEGMc1
2020-07-16,,,,4.934,240,PPEGMc1
2020-07-17,,,,5.006,,PPEGMc1
2020-07-20,,,,4.61,,PPEGMc1
2020-07-21,,,,4.709,960,PPEGMc1
2020-07-22,,,,4.752,960,PPEGMc1
2020-07-23,4.89,4.89,4.89,4.881,2880,PPEGMc1
2020-07-24,,,,4.875,,PPEGMc1
2020-07-27,,,,4.718,2160,PPEGMc1
2020-07-28,,,,4.899,1680,PPEGMc1
2020-07-29,,,,5.05,912,PPEGMc1
2020-07-30,,,,5.109,240,PPEGMc1
2020-07-31,,,,5.926,240,PPEGMc1
2020-08-03,6.2,6.2,6.2,6.681,300,PPEGMc1
2020-08-04,6.9,6.9,6.9,7.317,1020,PPEGMc1
2020-08-05,7.2,7.2,7.2,7.267,30,PPEGMc1
2020-08-06,,,,7.875,,PPEGMc1
2020-08-07,8.0,8.0,8.0,7.85,300,PPEGMc1
2020-08-10,,,,7.525,,PPEGMc1
2020-08-11,,,,7.325,,PPEGMc1
2020-08-12,,,,7.049,240,PPEGMc1
2020-08-13,7.35,7.35,7.35,7.2,300,PPEGMc1
2020-08-14,7.325,7.325,7.325,7.9,300,PPEGMc1
2020-08-17,8.1,8.1,8.1,8.079,300,PPEGMc1
2020-08-18,8.4,8.4,8.4,8.468,540,PPEGMc1
2020-08-19,8.775,8.3,8.775,8.278,620,PPEGMc1
2020-08-20,8.3,8.3,8.3,8.065,4140,PPEGMc1
2020-08-21,7.7,7.55,7.7,7.546,1134,PPEGMc1
2020-08-24,8.2,8.15,8.15,8.296,780,PPEGMc1
2020-08-25,8.775,8.45,8.525,8.73,5160,PPEGMc1
2020-08-26,9.2,9.2,9.2,9.085,240,PPEGMc1
2020-08-27,9.25,9.1,9.25,8.793,1700,PPEGMc1
2020-08-28,9.95,9.75,9.75,9.64,706,PPEGMc1
2020-08-31,,,,11.184,,PPEGMc1
2020-09-01,,,,11.337,,PPEGMc1
2020-09-02,11.175,11.175,11.175,11.091,360,PPEGMc1
2020-09-03,,,,11.69,,PPEGMc1
2020-09-04,,,,11.664,,PPEGMc1
2020-09-07,,,,11.13,,PPEGMc1
2020-09-08,,,,10.75,,PPEGMc1
2020-09-09,10.75,10.6,10.75,10.694,150,PPEGMc1
2020-09-10,,,,10.46,,PPEGMc1
2020-09-11,,,,10.371,,PPEGMc1
2020-09-14,,,,10.6,,PPEGMc1
2020-09-15,,,,10.783,,PPEGMc1
2020-09-16,,,,11.2,240,PPEGMc1
2020-09-17,,,,10.976,240,PPEGMc1
2020-09-18,11.0,10.75,10.825,11.388,1425,PPEGMc1
2020-09-21,,,,11.226,,PPEGMc1
2020-09-22,11.475,11.475,11.475,11.566,240,PPEGMc1
2020-09-23,11.7,11.7,11.7,11.75,1440,PPEGMc1
2020-09-24,11.725,11.35,11.6,11.496,2640,PPEGMc1
2020-09-25,11.4,11.25,11.25,11.452,1680,PPEGMc1
2020-09-28,11.925,11.6,11.72,12.102,3932,PPEGMc1
2020-09-29,12.3,11.825,12.0,12.0,3815,PPEGMc1
2020-09-30,,,,13.101,,PPEGMc1
2020-10-01,,,,13.01,,PPEGMc1
2020-10-02,12.95,12.8,12.8,12.87,750,PPEGMc1
2020-10-05,,,,13.294,,PPEGMc1
2020-10-06,13.075,13.075,13.075,13.149,240,PPEGMc1
2020-10-07,13.4,13.4,13.4,13.563,60,PPEGMc1
2020-10-08,13.875,13.875,13.875,13.817,120,PPEGMc1
2020-10-09,13.625,13.625,13.625,13.692,1560,PPEGMc1
2020-10-12,13.775,13.775,13.775,13.725,120,PPEGMc1
2020-10-13,,,,13.5,,PPEGMc1
2020-10-14,13.875,13.575,13.575,13.81,1216,PPEGMc1
2020-10-15,14.1,14.0,14.0,14.124,1200,PPEGMc1
2020-10-16,14.375,14.375,14.375,14.501,240,PPEGMc1
2020-10-19,14.775,14.775,14.775,14.715,1420,PPEGMc1
2020-10-20,,,,14.875,,PPEGMc1
2020-10-21,14.75,14.7,14.7,14.853,990,PPEGMc1
2020-10-22,,,,15.241,1680,PPEGMc1
2020-10-23,15.6,15.6,15.6,15.411,1680,PPEGMc1
2020-10-26,,,,14.82,960,PPEGMc1
2020-10-27,14.72,14.7,14.72,14.607,240,PPEGMc1
2020-10-28,14.3,14.3,14.3,14.352,1460,PPEGMc1
2020-10-29,13.91,13.91,13.91,14.05,288,PPEGMc1
2020-10-30,14.15,14.15,14.15,13.95,480,PPEGMc1
2020-11-02,13.55,13.55,13.55,13.575,120,PPEGMc1
2020-11-03,13.7,13.7,13.7,13.607,140,PPEGMc1
2020-11-04,13.85,13.5,13.5,13.73,1412,PPEGMc1
2020-11-05,,,,14.281,,PPEGMc1
2020-11-06,,,,13.766,,PPEGMc1
2020-11-09,13.85,13.5,13.5,13.741,640,PPEGMc1
2020-11-10,,,,13.925,,PPEGMc1
2020-11-11,,,,13.983,,PPEGMc1
2020-11-12,13.95,13.95,13.95,13.843,840,PPEGMc1
2020-11-13,,,,14.093,,PPEGMc1
2020-11-16,14.425,14.425,14.425,14.392,870,PPEGMc1
2020-11-17,,,,13.905,960,PPEGMc1
2020-11-18,,,,13.621,960,PPEGMc1
2020-11-19,,,,12.997,960,PPEGMc1
2020-11-20,,,,12.804,960,PPEGMc1
2020-11-23,,,,13.435,960,PPEGMc1
2020-11-24,13.35,13.35,13.35,13.823,2664,PPEGMc1
2020-11-25,14.245,13.8,14.245,13.88,1880,PPEGMc1
2020-11-26,13.95,13.95,13.95,13.872,4705,PPEGMc1
2020-11-27,14.5,14.43,14.43,14.45,3486,PPEGMc1
2020-11-30,,,,15.12,,PPEGMc1
2020-12-01,15.3,15.3,15.3,14.891,1000,PPEGMc1
2020-12-02,14.675,14.6,14.675,14.897,1000,PPEGMc1
2020-12-03,14.65,14.3,14.65,14.103,1940,PPEGMc1
2020-12-04,14.4,14.4,14.4,14.52,1720,PPEGMc1
2020-12-07,14.1,14.1,14.1,14.317,1720,PPEGMc1
2020-12-08,14.4,14.39,14.4,14.397,1064,PPEGMc1
2020-12-09,14.7,14.6,14.625,14.704,2720,PPEGMc1
2020-12-10,15.4,15.3,15.4,15.493,2148,PPEGMc1
2020-12-11,15.925,15.35,15.35,15.787,1066,PPEGMc1
2020-12-14,,,,16.592,1440,PPEGMc1
2020-12-15,16.75,16.75,16.75,17.192,70,PPEGMc1
2020-12-16,,,,16.478,960,PPEGMc1
2020-12-17,,,,15.975,720,PPEGMc1
2020-12-18,16.15,16.15,16.15,15.94,1584,PPEGMc1
2020-12-21,,,,16.859,,PPEGMc1
2020-12-22,,,,17.632,144,PPEGMc1
2020-12-23,17.45,17.45,17.45,17.509,2000,PPEGMc1
2020-12-24,,,,17.533,,PPEGMc1
2020-12-28,,,,19.115,,PPEGMc1
2020-12-29,18.825,18.7,18.7,18.774,960,PPEGMc1
2020-12-30,,,,19.08,,PPEGMc1
2020-12-31,,,,19.249,,PPEGMc1
2021-01-04,19.75,19.75,19.75,19.838,2040,PPEGMc1
2021-01-05,18.55,18.15,18.55,18.126,1090,PPEGMc1
2021-01-06,17.75,17.725,17.75,17.77,1440,PPEGMc1
2021-01-07,19.15,19.15,19.15,19.53,960,PPEGMc1
2021-01-08,,,,20.397,,PPEGMc1
2021-01-11,22.15,22.15,22.15,22.47,150,PPEGMc1
2021-01-12,27.2,25.1,25.2,26.615,3422,PPEGMc1
2021-01-13,22.65,22.65,22.65,21.808,150,PPEGMc1
2021-01-14,21.6,21.2,21.6,21.458,2160,PPEGMc1
2021-01-15,20.5,20.35,20.35,20.532,7729,PPEGMc1
2021-01-18,,,,19.337,,PPEGMc1
2021-01-19,20.55,20.55,20.55,20.417,3144,PPEGMc1
2021-01-20,20.55,20.55,20.55,20.425,1490,PPEGMc1
2021-01-21,20.05,20.05,20.05,20.302,840,PPEGMc1
2021-01-22,,,,21.5,1440,PPEGMc1
2021-01-25,20.2,20.135,20.2,20.226,2088,PPEGMc1
2021-01-26,19.95,19.95,19.95,19.499,2960,PPEGMc1
2021-01-27,19.6,19.0,19.0,19.603,2670,PPEGMc1
2021-01-28,20.625,20.625,20.625,20.75,3030,PPEGMc1
2021-01-29,19.5,19.5,19.5,19.679,600,PPEGMc1
2021-02-01,17.875,17.875,17.875,17.925,120,PPEGMc1
2021-02-02,18.15,18.15,18.15,18.218,500,PPEGMc1
2021-02-03,,,,17.728,720,PPEGMc1
2021-02-04,18.15,18.15,18.15,18.019,1200,PPEGMc1
2021-02-05,18.5,18.5,18.5,18.186,1320,PPEGMc1
2021-02-08,19.8,19.8,19.8,19.886,840,PPEGMc1
2021-02-09,18.7,18.5,18.5,18.801,6224,PPEGMc1
2021-02-10,18.5,18.5,18.5,18.261,840,PPEGMc1
2021-02-11,17.7,17.3,17.65,17.186,3520,PPEGMc1
2021-02-12,17.35,17.25,17.25,17.355,8440,PPEGMc1
2021-02-15,16.7,16.285,16.7,16.283,1460,PPEGMc1
2021-02-16,16.6,16.4,16.5,16.498,8920,PPEGMc1
2021-02-17,17.05,16.25,17.05,16.383,3720,PPEGMc1
2021-02-18,17.0,16.65,16.65,16.974,3635,PPEGMc1
2021-02-19,16.7,16.7,16.7,16.266,100,PPEGMc1
2021-02-22,15.815,15.6,15.6,15.89,2260,PPEGMc1
2021-02-23,16.15,16.1,16.15,16.086,878,PPEGMc1
2021-02-24,16.15,15.9,15.9,16.127,960,PPEGMc1
2021-02-25,16.0,15.95,16.0,15.79,840,PPEGMc1
2021-02-26,,,,15.62,7200,PPEGMc1
2021-03-01,16.0,16.0,16.0,15.881,720,PPEGMc1
2021-03-02,,,,15.71,,PPEGMc1
2021-03-03,,,,15.354,720,PPEGMc1
2021-03-04,,,,15.757,6480,PPEGMc1
2021-03-05,,,,16.182,,PPEGMc1
2021-03-08,,,,15.987,720,PPEGMc1
2021-03-09,16.45,16.45,16.45,16.726,4420,PPEGMc1
2021-03-10,,,,17.389,720,PPEGMc1
2021-03-11,17.7,17.2,17.3,17.973,4088,PPEGMc1
2021-03-12,18.25,17.6,17.725,18.249,2048,PPEGMc1
2021-03-15,17.9,17.9,17.9,17.745,1104,PPEGMc1
2021-03-16,17.2,17.15,17.2,17.451,1120,PPEGMc1
2021-03-17,,,,17.841,720,PPEGMc1
2021-03-18,18.125,17.825,18.125,17.545,1224,PPEGMc1
2021-03-19,,,,17.142,960,PPEGMc1
2021-03-22,17.85,17.425,17.425,17.864,1032,PPEGMc1
2021-03-23,17.72,17.5,17.55,18.209,2180,PPEGMc1
2021-03-24,18.2,17.95,17.95,18.375,1116,PPEGMc1
2021-03-25,17.95,17.95,17.95,18.211,1680,PPEGMc1
2021-03-26,18.3,18.3,18.3,18.498,724,PPEGMc1
2021-03-29,18.25,18.25,18.25,18.165,1012,PPEGMc1
