hub1_CLOSE-0,hub2_CLOSE-0,hub1_hub2_diff-0,hub1_hub2_diff-1,hub1_hub2_diff-2,hub1_hub2_diff-3,hub1_hub2_diff-4,hub1_hub2_diff-5,ttf,nbp
14.428,14.282476882656,0.14552311734400014,-0.0006483775207009046,0.07786016992529987,0.04569266728089971,0.00817647660969989,-0.020405671000100156,14.807,14.2405514041014
14.213,13.7190558569625,0.4939441430374991,0.14552311734400014,-0.0006483775207009046,0.07786016992529987,0.04569266728089971,0.00817647660969989,16.633,16.2890647285631
13.844,13.2964110963251,0.5475889036748995,0.4939441430374991,0.14552311734400014,-0.0006483775207009046,0.07786016992529987,0.04569266728089971,15.964,15.4906629815402
13.457,12.8525403487221,0.6044596512779012,0.5475889036748995,0.4939441430374991,0.14552311734400014,-0.0006483775207009046,0.07786016992529987,16.757,16.391886579998
14.189,13.5771590405023,0.6118409594976999,0.6044596512779012,0.5475889036748995,0.4939441430374991,0.14552311734400014,-0.0006483775207009046,15.73,15.102580270925
14.807,14.2405514041014,0.566448595898601,0.6118409594976999,0.6044596512779012,0.5475889036748995,0.4939441430374991,0.14552311734400014,15.995,15.4893274644283
16.633,16.2890647285631,0.34393527143689795,0.566448595898601,0.6118409594976999,0.6044596512779012,0.5475889036748995,0.4939441430374991,15.853,15.2097942471082
15.964,15.4906629815402,0.4733370184597998,0.34393527143689795,0.566448595898601,0.6118409594976999,0.6044596512779012,0.5475889036748995,15.012,14.2626123451735
16.757,16.391886579998,0.3651134200020003,0.4733370184597998,0.34393527143689795,0.566448595898601,0.6118409594976999,0.6044596512779012,14.836,14.0762329818815
15.73,15.102580270925,0.627419729075001,0.3651134200020003,0.4733370184597998,0.34393527143689795,0.566448595898601,0.6118409594976999,15.195,14.4315835807145
15.995,15.4893274644283,0.5056725355716996,0.627419729075001,0.3651134200020003,0.4733370184597998,0.34393527143689795,0.566448595898601,14.462,13.5763752687071
15.853,15.2097942471082,0.6432057528918005,0.5056725355716996,0.627419729075001,0.3651134200020003,0.4733370184597998,0.34393527143689795,14.4486666666667,13.550374313304
15.012,14.2626123451735,0.749387654826501,0.6432057528918005,0.5056725355716996,0.627419729075001,0.3651134200020003,0.4733370184597998,14.4353333333333,13.5243733579008
14.836,14.0762329818815,0.7597670181185006,0.749387654826501,0.6432057528918005,0.5056725355716996,0.627419729075001,0.3651134200020003,14.422,13.4983724024977
15.195,14.4315835807145,0.7634164192855,0.7597670181185006,0.749387654826501,0.6432057528918005,0.5056725355716996,0.627419729075001,14.264,13.3690981676733
14.462,13.5763752687071,0.8856247312929,0.7634164192855,0.7597670181185006,0.749387654826501,0.6432057528918005,0.5056725355716996,14.535,13.5800962227454
14.4486666666667,13.550374313304,0.8982923533627005,0.8856247312929,0.7634164192855,0.7597670181185006,0.749387654826501,0.6432057528918005,14.423,13.3913501893746
14.4353333333333,13.5243733579008,0.9109599754325011,0.8982923533627005,0.8856247312929,0.7634164192855,0.7597670181185006,0.749387654826501,14.525,13.4410666393694
14.422,13.4983724024977,0.9236275975022998,0.9109599754325011,0.8982923533627005,0.8856247312929,0.7634164192855,0.7597670181185006,14.389,13.3482280683796
14.264,13.3690981676733,0.8949018323266991,0.9236275975022998,0.9109599754325011,0.8982923533627005,0.8856247312929,0.7634164192855,14.056,12.9594929539018
14.535,13.5800962227454,0.9549037772546001,0.8949018323266991,0.9236275975022998,0.9109599754325011,0.8982923533627005,0.8856247312929,14.366,13.2781942880541
14.423,13.3913501893746,1.0316498106253995,0.9549037772546001,0.8949018323266991,0.9236275975022998,0.9109599754325011,0.8982923533627005,14.566,13.6391442317535
14.525,13.4410666393694,1.083933360630601,1.0316498106253995,0.9549037772546001,0.8949018323266991,0.9236275975022998,0.9109599754325011,14.335,13.2695001194254
14.389,13.3482280683796,1.0407719316203998,1.083933360630601,1.0316498106253995,0.9549037772546001,0.8949018323266991,0.9236275975022998,14.155,12.8998560070973
14.056,12.9594929539018,1.0965070460981998,1.0407719316203998,1.083933360630601,1.0316498106253995,0.9549037772546001,0.8949018323266991,14.322,13.1595796226158
14.366,13.2781942880541,1.087805711945899,1.0965070460981998,1.0407719316203998,1.083933360630601,1.0316498106253995,0.9549037772546001,14.457,13.3470672535572
14.566,13.6391442317535,0.9268557682465008,1.087805711945899,1.0965070460981998,1.0407719316203998,1.083933360630601,1.0316498106253995,13.997,12.8496748217149
14.335,13.2695001194254,1.0654998805746008,0.9268557682465008,1.087805711945899,1.0965070460981998,1.0407719316203998,1.083933360630601,13.761,12.6638550516941
14.155,12.8998560070973,1.255143992902699,1.0654998805746008,0.9268557682465008,1.087805711945899,1.0965070460981998,1.0407719316203998,13.783,12.6685037704303
14.322,13.1595796226158,1.1624203773841995,1.255143992902699,1.0654998805746008,0.9268557682465008,1.087805711945899,1.0965070460981998,13.856,12.763855734125
14.457,13.3470672535572,1.1099327464428015,1.1624203773841995,1.255143992902699,1.0654998805746008,0.9268557682465008,1.087805711945899,13.385,12.2013000307094
13.997,12.8496748217149,1.147325178285099,1.1099327464428015,1.1624203773841995,1.255143992902699,1.0654998805746008,0.9268557682465008,12.856,11.6003859146279
13.761,12.6638550516941,1.0971449483058997,1.147325178285099,1.1099327464428015,1.1624203773841995,1.255143992902699,1.0654998805746008,12.903,11.896693622684
