hub1_CLOSE-0,hub2_CLOSE-0,hub1_hub2_diff-0,hub1_hub2_diff-1,hub1_hub2_diff-2,hub1_hub2_diff-3,hub1_hub2_diff-4,hub1_hub2_diff-5,the,nbp
24.747,25.8101955164295,-1.0631955164294986,-0.8649017299620994,-0.9299007063158982,-0.8187553485515018,-0.9487893336062996,-0.7578103183540001,24.861,26.1785426689869
24.882,25.822012488484,-0.9400124884839975,-1.0631955164294986,-0.8649017299620994,-0.9299007063158982,-0.8187553485515018,-0.9487893336062996,24.644,25.5830879994541
23.908,24.8753284198314,-0.9673284198314,-0.9400124884839975,-1.0631955164294986,-0.8649017299620994,-0.9299007063158982,-0.8187553485515018,24.2216666666667,25.5761947657556
24.296,25.4280861227693,-1.1320861227693015,-0.9673284198314,-0.9400124884839975,-1.0631955164294986,-0.8649017299620994,-0.9299007063158982,23.7993333333333,25.5693015320572
24.611,25.8896018016174,-1.2786018016173983,-1.1320861227693015,-0.9673284198314,-0.9400124884839975,-1.0631955164294986,-0.8649017299620994,23.377,24.2862537960214
24.861,26.1785426689869,-1.3175426689868992,-1.2786018016173983,-1.1320861227693015,-0.9673284198314,-0.9400124884839975,-1.0631955164294986,22.83,23.7060971781486
24.644,25.5830879994541,-0.9390879994541024,-1.3175426689868992,-1.2786018016173983,-1.1320861227693015,-0.9673284198314,-0.9400124884839975,22.4,23.1739676527792
24.2216666666667,25.5761947657556,-1.354528099088899,-0.9390879994541024,-1.3175426689868992,-1.2786018016173983,-1.1320861227693015,-0.9673284198314,22.4955,23.3722924557273
23.7993333333333,25.5693015320572,-1.7699681987238982,-1.354528099088899,-0.9390879994541024,-1.3175426689868992,-1.2786018016173983,-1.1320861227693015,22.591,23.5706172586754
23.377,24.2862537960214,-0.9092537960213996,-1.7699681987238982,-1.354528099088899,-0.9390879994541024,-1.3175426689868992,-1.2786018016173983,22.369,23.3788463507012
22.83,23.7060971781486,-0.8760971781486013,-0.9092537960213996,-1.7699681987238982,-1.354528099088899,-0.9390879994541024,-1.3175426689868992,23.137,24.2104531340635
22.4,23.1739676527792,-0.7739676527792021,-0.8760971781486013,-0.9092537960213996,-1.7699681987238982,-1.354528099088899,-0.9390879994541024,21.646,22.5134213669089
22.4955,23.3722924557273,-0.8767924557273012,-0.7739676527792021,-0.8760971781486013,-0.9092537960213996,-1.7699681987238982,-1.354528099088899,22.318,23.0345883236087
22.591,23.5706172586754,-0.9796172586754004,-0.8767924557273012,-0.7739676527792021,-0.8760971781486013,-0.9092537960213996,-1.7699681987238982,21.997,22.7014873579691
22.369,23.3788463507012,-1.0098463507011992,-0.9796172586754004,-0.8767924557273012,-0.7739676527792021,-0.8760971781486013,-0.9092537960213996,22.019,22.6491517384925
23.137,24.2104531340635,-1.0734531340634987,-1.0098463507011992,-0.9796172586754004,-0.8767924557273012,-0.7739676527792021,-0.8760971781486013,22.592,23.4441218821442
21.646,22.5134213669089,-0.8674213669088999,-1.0734531340634987,-1.0098463507011992,-0.9796172586754004,-0.8767924557273012,-0.7739676527792021,21.98,22.6904903265431
22.318,23.0345883236087,-0.716588323608697,-0.8674213669088999,-1.0734531340634987,-1.0098463507011992,-0.9796172586754004,-0.8767924557273012,22.308,23.2972208004913
21.997,22.7014873579691,-0.7044873579691,-0.716588323608697,-0.8674213669088999,-1.0734531340634987,-1.0098463507011992,-0.9796172586754004,22.32,23.204555225714
22.019,22.6491517384925,-0.6301517384925006,-0.7044873579691,-0.716588323608697,-0.8674213669088999,-1.0734531340634987,-1.0098463507011992,23.27,24.4922724946259
22.592,23.4441218821442,-0.8521218821441998,-0.6301517384925006,-0.7044873579691,-0.716588323608697,-0.8674213669088999,-1.0734531340634987,22.968,23.8836155184768
21.98,22.6904903265431,-0.7104903265430984,-0.8521218821441998,-0.6301517384925006,-0.7044873579691,-0.716588323608697,-0.8674213669088999,22.086,22.9355010748285
22.308,23.2972208004913,-0.9892208004912995,-0.7104903265430984,-0.8521218821441998,-0.6301517384925006,-0.7044873579691,-0.716588323608697,22.233,23.0735271436858
22.32,23.204555225714,-0.8845552257139992,-0.9892208004912995,-0.7104903265430984,-0.8521218821441998,-0.6301517384925006,-0.7044873579691,22.606,23.5773432968233
23.27,24.4922724946259,-1.2222724946259014,-0.8845552257139992,-0.9892208004912995,-0.7104903265430984,-0.8521218821441998,-0.6301517384925006,21.771,22.6983775207288
22.968,23.8836155184768,-0.9156155184768018,-1.2222724946259014,-0.8845552257139992,-0.9892208004912995,-0.7104903265430984,-0.8521218821441998,21.421,22.125732418876
22.086,22.9355010748285,-0.8495010748285026,-0.9156155184768018,-1.2222724946259014,-0.8845552257139992,-0.9892208004912995,-0.7104903265430984,21.105,21.6886068174839
22.233,23.0735271436858,-0.8405271436858008,-0.8495010748285026,-0.9156155184768018,-1.2222724946259014,-0.8845552257139992,-0.9892208004912995,21.135,21.4974456614461
22.606,23.5773432968233,-0.9713432968232993,-0.8405271436858008,-0.8495010748285026,-0.9156155184768018,-1.2222724946259014,-0.8845552257139992,20.783,21.0709857713174
21.771,22.6983775207288,-0.9273775207288004,-0.9713432968232993,-0.8405271436858008,-0.8495010748285026,-0.9156155184768018,-1.2222724946259014,20.431,20.1249175964787
21.421,22.125732418876,-0.7047324188760022,-0.9273775207288004,-0.9713432968232993,-0.8405271436858008,-0.8495010748285026,-0.9156155184768018,19.949,19.507259699048
21.105,21.6886068174839,-0.5836068174839006,-0.7047324188760022,-0.9273775207288004,-0.9713432968232993,-0.8405271436858008,-0.8495010748285026,20.008,19.7025516088307
21.135,21.4974456614461,-0.3624456614460989,-0.5836068174839006,-0.7047324188760022,-0.9273775207288004,-0.9713432968232993,-0.8405271436858008,19.836,19.5602033643839
20.783,21.0709857713174,-0.28798577131739833,-0.3624456614460989,-0.5836068174839006,-0.7047324188760022,-0.9273775207288004,-0.9713432968232993,19.496,19.3702623946497
20.431,20.1249175964787,0.30608240352130167,-0.28798577131739833,-0.3624456614460989,-0.5836068174839006,-0.7047324188760022,-0.9273775207288004,19.582,19.4076633568772
19.949,19.507259699048,0.44174030095200223,0.30608240352130167,-0.28798577131739833,-0.3624456614460989,-0.5836068174839006,-0.7047324188760022,18.826,18.7481403760194
20.008,19.7025516088307,0.3054483911692998,0.44174030095200223,0.30608240352130167,-0.28798577131739833,-0.3624456614460989,-0.5836068174839006,18.634,18.599031289453
19.836,19.5602033643839,0.2757966356160999,0.3054483911692998,0.44174030095200223,0.30608240352130167,-0.28798577131739833,-0.3624456614460989,18.354,18.2424813184563
19.496,19.3702623946497,0.12573760535029876,0.2757966356160999,0.3054483911692998,0.44174030095200223,0.30608240352130167,-0.28798577131739833,18.546,18.5332418876036
19.582,19.4076633568772,0.17433664312279973,0.12573760535029876,0.2757966356160999,0.3054483911692998,0.44174030095200223,0.30608240352130167,18.262,18.1971235540997
18.826,18.7481403760194,0.07785962398060065,0.17433664312279973,0.12573760535029876,0.2757966356160999,0.3054483911692998,0.44174030095200223,18.673,18.5459023441499
18.634,18.599031289453,0.03496871054700179,0.07785962398060065,0.17433664312279973,0.12573760535029876,0.2757966356160999,0.3054483911692998,18.148,17.8436871737128
