hub1_CLOSE-0,hub2_CLOSE-0,hub1_hub2_diff-0,hub1_hub2_diff-1,hub1_hub2_diff-2,hub1_hub2_diff-3,hub1_hub2_diff-4,hub1_hub2_diff-5,ttf,the
24.578,24.949,-0.3710000000000022,-0.2920000000000016,-0.18100000000000094,-0.1910000000000025,-0.1269999999999989,-0.16300000000000026,23.808,23.971
23.873,24.4,-0.5269999999999975,-0.3710000000000022,-0.2920000000000016,-0.18100000000000094,-0.1910000000000025,-0.1269999999999989,23.896,24.167
24.333,24.544,-0.21100000000000207,-0.5269999999999975,-0.3710000000000022,-0.2920000000000016,-0.18100000000000094,-0.1910000000000025,24.42,24.363
23.649,23.839,-0.18999999999999773,-0.21100000000000207,-0.5269999999999975,-0.3710000000000022,-0.2920000000000016,-0.18100000000000094,24.429,24.559
24.283,24.432,-0.14899999999999736,-0.18999999999999773,-0.21100000000000207,-0.5269999999999975,-0.3710000000000022,-0.2920000000000016,24.326,24.423
23.808,23.971,-0.16300000000000026,-0.14899999999999736,-0.18999999999999773,-0.21100000000000207,-0.5269999999999975,-0.3710000000000022,25.955,26.029
23.896,24.167,-0.2710000000000008,-0.16300000000000026,-0.14899999999999736,-0.18999999999999773,-0.21100000000000207,-0.5269999999999975,26.519,26.595
24.42,24.363,0.05700000000000216,-0.2710000000000008,-0.16300000000000026,-0.14899999999999736,-0.18999999999999773,-0.21100000000000207,26.278,26.427
24.429,24.559,-0.13000000000000256,0.05700000000000216,-0.2710000000000008,-0.16300000000000026,-0.14899999999999736,-0.18999999999999773,26.677,26.764
24.326,24.423,-0.09699999999999775,-0.13000000000000256,0.05700000000000216,-0.2710000000000008,-0.16300000000000026,-0.14899999999999736,25.956,26.058
25.955,26.029,-0.07400000000000162,-0.09699999999999775,-0.13000000000000256,0.05700000000000216,-0.2710000000000008,-0.16300000000000026,24.152,24.302
26.519,26.595,-0.07600000000000051,-0.07400000000000162,-0.09699999999999775,-0.13000000000000256,0.05700000000000216,-0.2710000000000008,24.352,24.546
